File Description: RCMIP SSP245 emissions scenario from 1750-2500.,,,
"Code Source: Extracted using default Python model version of FAIR2.0, available at https://github.com/njleach/
FAIR/tree/47c6eec031d2edcf09424394dbb86581a1b246ba",,,
"Paper Reference: Leach et al. 2021. ""FaIRv2.0.0: a generalized impulse response model for climate
uncertainty and future scenario exploration,"" Geoscientific Model Development. https://doi.org/10.5194/gmd-14-3007-2021",,,
1922,0,0,0
1923,0,0,0
1924,0,0,0
1925,0,0,0
1926,0,0,0
1927,0,0,0
1928,0,0,0
1929,0,0,0
1930,0,0,0
1931,0,0,0
1932,0,0,0
1933,0,0,0
1934,0,0,0
1935,0,0,0
1936,0,0,0
1937,0,0,0
1938,0,0,0
1939,0,0,0
1940,0,0,0
1941,0,0,0
1942,0,0,0
1943,0,0,0
1944,0,0,0
1945,0,0,0
1946,0,0,0
1947,0,0,0
1948,0,0,0
1949,0,0,0
1950,0,0,0
1951,0,0,0
1952,0,0,0
1953,0,0,0
1954,0,0,0
1955,0,0,0
1956,0,0,0
1957,0,0,0
1958,0,0,0
1959,0,0,0
1960,0,0,0
1961,0,0,0
1962,0,0,0
1963,0,0,0
1964,0,0,0
1965,0,0,0
1966,0,0,0
1967,0,0,0
1968,0,3.66E-10,0
1969,0,6.58E-07,1.13E-06
1970,0,2.40E-06,4.23E-06
1971,0,4.20E-06,7.74E-06
1972,0,5.30E-06,1.04E-05
1973,2.10E-08,5.68E-06,1.20E-05
1974,1.77E-07,5.35E-06,1.24E-05
1975,4.00E-07,4.29E-06,1.15E-05
1976,5.64E-07,2.52E-06,9.16E-06
1977,7.19E-07,7.91E-07,-6.51E-06
1978,8.75E-07,1.36E-07,-2.14E-05
1979,1.03E-06,1.36E-07,-9.98E-06
1980,1.18E-06,1.36E-07,3.13E-06
1981,1.33E-06,1.36E-07,3.83E-05
1982,1.47E-06,1.34E-07,6.67E-05
1983,1.65E-05,1.32E-07,2.41E-05
1984,0.000152491,1.33E-07,-4.01E-05
1985,0.000399263,1.33E-07,-6.22E-06
1986,0.000674323,1.34E-07,3.18E-05
1987,0.001000528,1.34E-07,8.32E-06
1988,0.001400486,1.35E-07,3.47E-05
1989,0.001864912,1.36E-07,7.70E-05
1990,0.002382589,1.36E-07,1.83E-05
1991,0.002937818,1.55E-05,-7.30E-05
1992,0.004491123,1.55E-05,-3.08E-05
1993,0.006496799,3.09E-05,4.28E-05
1994,0.007162855,6.17E-05,8.30E-06
1995,0.007887955,6.20E-05,8.46E-06
1996,0.010100268,7.76E-05,0.000113536
1997,0.011574972,9.32E-05,0.000111343
1998,0.015498744,0.000108976,6.92E-05
1999,0.018334419,0.000124802,0.000139549
2000,0.021400526,0.000140709,0.000269996
2001,0.027184793,0.000156671,0.000610731
2002,0.029655611,0.000157338,0.001313749
2003,0.034656619,0.00015807,0.002235639
2004,0.042288118,0.000219984,0.003118653
2005,0.045001634,0.000212764,0.003418058
2006,0.051038048,0.000182183,0.002559234
2007,0.055735756,0.00023422,0.0027884
2008,0.055545108,0.000212223,0.0027884
2009,0.058747812,0.000172706,0.0029974
2010,0.059879906,0.000279934,0.0033098
2011,0.059950898,0.000333569,0.0035841
2012,0.056430796,0.000258313,0.0039269
2013,0.05223651,0.000241043,0.0042254
2014,0.0556047,0.000256,0.0044701
2015,0.0558814,0.0002604,0.0046492
2016,0.05740089,0.0003043,0.004949468
2017,0.058920379,0.0003482,0.005249736
2018,0.060439869,0.0003921,0.005550003
2019,0.061959358,0.000436,0.005850271
2020,0.063478848,0.0004799,0.006150539
2021,0.060879633,0.00049184,0.00602583
2022,0.058280418,0.00050378,0.005901122
2023,0.055681203,0.00051572,0.005776413
2024,0.053081988,0.00052766,0.005651705
2025,0.050482773,0.0005396,0.005526996
2026,0.047883558,0.00055154,0.005402287
2027,0.045284343,0.00056348,0.005277579
2028,0.042685128,0.00057542,0.00515287
2029,0.040085913,0.00058736,0.005028162
2030,0.037486698,0.0005993,0.004903453
2031,0.036129882,0.00059903,0.004792101
2032,0.034773066,0.00059876,0.004680749
2033,0.033416249,0.00059849,0.004569397
2034,0.032059433,0.00059822,0.004458044
2035,0.030702617,0.00059795,0.004346692
2036,0.029345801,0.00059768,0.00423534
2037,0.027988985,0.00059741,0.004123988
2038,0.026632168,0.00059714,0.004012636
2039,0.025275352,0.00059687,0.003901283
2040,0.023918536,0.0005966,0.003789931
2041,0.023264265,0.00059226,0.003723421
2042,0.022609995,0.00058792,0.003656912
2043,0.021955724,0.00058358,0.003590402
2044,0.021301454,0.00057924,0.003523892
2045,0.020647183,0.0005749,0.003457382
2046,0.019992912,0.00057056,0.003390872
2047,0.019338642,0.00056622,0.003324362
2048,0.018684371,0.00056188,0.003257852
2049,0.018030101,0.00055754,0.003191343
2050,0.01737583,0.0005532,0.003124833
2051,0.017245334,0.0005597,0.003131626
2052,0.017114837,0.0005662,0.003138419
2053,0.016984341,0.0005727,0.003145213
2054,0.016853844,0.0005792,0.003152006
2055,0.016723348,0.0005857,0.003158799
2056,0.016592852,0.0005922,0.003165593
2057,0.016462355,0.0005987,0.003172386
2058,0.016331859,0.0006052,0.003179179
2059,0.016201362,0.0006117,0.003185973
2060,0.016070866,0.0006182,0.003192766
2061,0.015960026,0.00062284,0.003199193
2062,0.015849186,0.00062748,0.00320562
2063,0.015738345,0.00063212,0.003212047
2064,0.015627505,0.00063676,0.003218474
2065,0.015516665,0.0006414,0.003224901
2066,0.015405825,0.00064604,0.003231328
2067,0.015294985,0.00065068,0.003237755
2068,0.015184144,0.00065532,0.003244182
2069,0.015073304,0.00065996,0.003250609
2070,0.014962464,0.0006646,0.003257036
2071,0.014891561,0.00066775,0.003268686
2072,0.014820659,0.0006709,0.003280336
2073,0.014749756,0.00067405,0.003291987
2074,0.014678853,0.0006772,0.003303637
2075,0.014607951,0.00068035,0.003315287
2076,0.014537048,0.0006835,0.003326937
2077,0.014466145,0.00068665,0.003338587
2078,0.014395242,0.0006898,0.003350238
2079,0.01432434,0.00069295,0.003361888
2080,0.014253437,0.0006961,0.003373538
2081,0.014243897,0.00070027,0.003397121
2082,0.014234358,0.00070444,0.003420704
2083,0.014224818,0.00070861,0.003444287
2084,0.014215279,0.00071278,0.00346787
2085,0.014205739,0.00071695,0.003491453
2086,0.014196199,0.00072112,0.003515036
2087,0.01418666,0.00072529,0.003538619
2088,0.01417712,0.00072946,0.003562202
2089,0.014167581,0.00073363,0.003585786
2090,0.014158041,0.0007378,0.003609369
2091,0.014048999,0.00073536,0.003602324
2092,0.013939957,0.00073292,0.003595279
2093,0.013830915,0.00073048,0.003588235
2094,0.013721873,0.00072804,0.00358119
2095,0.013612832,0.0007256,0.003574146
2096,0.01350379,0.00072316,0.003567101
2097,0.013394748,0.00072072,0.003560057
2098,0.013285706,0.00071828,0.003553012
2099,0.013176664,0.00071584,0.003545968
2100,0.013067622,0.0007134,0.003538923
2101,0.012980505,0.000708644,0.00351533
2102,0.012893387,0.000703888,0.003491737
2103,0.01280627,0.000699132,0.003468145
2104,0.012719152,0.000694376,0.003444552
2105,0.012632035,0.00068962,0.003420959
2106,0.012544917,0.000684864,0.003397366
2107,0.0124578,0.000680108,0.003373773
2108,0.012370682,0.000675352,0.00335018
2109,0.012283565,0.000670596,0.003326588
2110,0.012196447,0.00066584,0.003302995
2111,0.01210933,0.000661084,0.003279402
2112,0.012022212,0.000656328,0.003255809
2113,0.011935095,0.000651572,0.003232216
2114,0.011847977,0.000646816,0.003208624
2115,0.01176086,0.00064206,0.003185031
2116,0.011673742,0.000637304,0.003161438
2117,0.011586625,0.000632548,0.003137845
2118,0.011499507,0.000627792,0.003114252
2119,0.01141239,0.000623036,0.003090659
2120,0.011325272,0.00061828,0.003067067
2121,0.011238155,0.000613524,0.003043474
2122,0.011151037,0.000608768,0.003019881
2123,0.01106392,0.000604012,0.002996288
2124,0.010976802,0.000599256,0.002972695
2125,0.010889685,0.0005945,0.002949103
2126,0.010802568,0.000589744,0.00292551
2127,0.01071545,0.000584988,0.002901917
2128,0.010628333,0.000580232,0.002878324
2129,0.010541215,0.000575476,0.002854731
2130,0.010454098,0.00057072,0.002831138
2131,0.01036698,0.000565964,0.002807546
2132,0.010279863,0.000561208,0.002783953
2133,0.010192745,0.000556452,0.00276036
2134,0.010105628,0.000551696,0.002736767
2135,0.01001851,0.00054694,0.002713174
2136,0.009931393,0.000542184,0.002689581
2137,0.009844275,0.000537428,0.002665989
2138,0.009757158,0.000532672,0.002642396
2139,0.00967004,0.000527916,0.002618803
2140,0.009582923,0.00052316,0.00259521
2141,0.009495805,0.000518404,0.002571617
2142,0.009408688,0.000513648,0.002548025
2143,0.00932157,0.000508892,0.002524432
2144,0.009234453,0.000504136,0.002500839
2145,0.009147335,0.00049938,0.002477246
2146,0.009060218,0.000494624,0.002453653
2147,0.0089731,0.000489868,0.00243006
2148,0.008885983,0.000485112,0.002406468
2149,0.008798865,0.000480356,0.002382875
2150,0.008711748,0.0004756,0.002359282
2151,0.008624631,0.000470844,0.002335689
2152,0.008537513,0.000466088,0.002312096
2153,0.008450396,0.000461332,0.002288504
2154,0.008363278,0.000456576,0.002264911
2155,0.008276161,0.00045182,0.002241318
2156,0.008189043,0.000447064,0.002217725
2157,0.008101926,0.000442308,0.002194132
2158,0.008014808,0.000437552,0.002170539
2159,0.007927691,0.000432796,0.002146947
2160,0.007840573,0.00042804,0.002123354
2161,0.007753456,0.000423284,0.002099761
2162,0.007666338,0.000418528,0.002076168
2163,0.007579221,0.000413772,0.002052575
2164,0.007492103,0.000409016,0.002028983
2165,0.007404986,0.00040426,0.00200539
2166,0.007317868,0.000399504,0.001981797
2167,0.007230751,0.000394748,0.001958204
2168,0.007143633,0.000389992,0.001934611
2169,0.007056516,0.000385236,0.001911018
2170,0.006969398,0.00038048,0.001887426
2171,0.006882281,0.000375724,0.001863833
2172,0.006795163,0.000370968,0.00184024
2173,0.006708046,0.000366212,0.001816647
2174,0.006620928,0.000361456,0.001793054
2175,0.006533811,0.0003567,0.001769462
2176,0.006446694,0.000351944,0.001745869
2177,0.006359576,0.000347188,0.001722276
2178,0.006272459,0.000342432,0.001698683
2179,0.006185341,0.000337676,0.00167509
2180,0.006098224,0.00033292,0.001651497
2181,0.006011106,0.000328164,0.001627905
2182,0.005923989,0.000323408,0.001604312
2183,0.005836871,0.000318652,0.001580719
2184,0.005749754,0.000313896,0.001557126
2185,0.005662636,0.00030914,0.001533533
2186,0.005575519,0.000304384,0.00150994
2187,0.005488401,0.000299628,0.001486348
2188,0.005401284,0.000294872,0.001462755
2189,0.005314166,0.000290116,0.001439162
2190,0.005227049,0.00028536,0.001415569
2191,0.005139931,0.000280604,0.001391976
2192,0.005052814,0.000275848,0.001368384
2193,0.004965696,0.000271092,0.001344791
2194,0.004878579,0.000266336,0.001321198
2195,0.004791461,0.00026158,0.001297605
2196,0.004704344,0.000256824,0.001274012
2197,0.004617226,0.000252068,0.001250419
2198,0.004530109,0.000247312,0.001226827
2199,0.004442991,0.000242556,0.001203234
2200,0.004355874,0.0002378,0.001179641
2201,0.004268757,0.000233044,0.001156048
2202,0.004181639,0.000228288,0.001132455
2203,0.004094522,0.000223532,0.001108863
2204,0.004007404,0.000218776,0.00108527
2205,0.003920287,0.00021402,0.001061677
2206,0.003833169,0.000209264,0.001038084
2207,0.003746052,0.000204508,0.001014491
2208,0.003658934,0.000199752,0.000990898
2209,0.003571817,0.000194996,0.000967306
2210,0.003484699,0.00019024,0.000943713
2211,0.003397582,0.000185484,0.00092012
2212,0.003310464,0.000180728,0.000896527
2213,0.003223347,0.000175972,0.000872934
2214,0.003136229,0.000171216,0.000849342
2215,0.003049112,0.00016646,0.000825749
2216,0.002961994,0.000161704,0.000802156
2217,0.002874877,0.000156948,0.000778563
2218,0.002787759,0.000152192,0.00075497
2219,0.002700642,0.000147436,0.000731377
2220,0.002613524,0.00014268,0.000707785
2221,0.002526407,0.000137924,0.000684192
2222,0.002439289,0.000133168,0.000660599
2223,0.002352172,0.000128412,0.000637006
2224,0.002265054,0.000123656,0.000613413
2225,0.002177937,0.0001189,0.000589821
2226,0.00209082,0.000114144,0.000566228
2227,0.002003702,0.000109388,0.000542635
2228,0.001916585,0.000104632,0.000519042
2229,0.001829467,9.99E-05,0.000495449
2230,0.00174235,9.51E-05,0.000471856
2231,0.001655232,9.04E-05,0.000448264
2232,0.001568115,8.56E-05,0.000424671
2233,0.001480997,8.09E-05,0.000401078
2234,0.00139388,7.61E-05,0.000377485
2235,0.001306762,7.13E-05,0.000353892
2236,0.001219645,6.66E-05,0.000330299
2237,0.001132527,6.18E-05,0.000306707
2238,0.00104541,5.71E-05,0.000283114
2239,0.000958292,5.23E-05,0.000259521
2240,0.000871175,4.76E-05,0.000235928
2241,0.000784057,4.28E-05,0.000212335
2242,0.00069694,3.80E-05,0.000188743
2243,0.000609822,3.33E-05,0.00016515
2244,0.000522705,2.85E-05,0.000141557
2245,0.000435587,2.38E-05,0.000117964
2246,0.00034847,1.90E-05,9.44E-05
2247,0.000261352,1.43E-05,7.08E-05
2248,0.000174235,9.51E-06,4.72E-05
2249,8.71E-05,4.76E-06,2.36E-05
2250,0,0,0
2251,0,0,0
2252,0,0,0
2253,0,0,0
2254,0,0,0
2255,0,0,0
2256,0,0,0
2257,0,0,0
2258,0,0,0
2259,0,0,0
2260,0,0,0
2261,0,0,0
2262,0,0,0
2263,0,0,0
2264,0,0,0
2265,0,0,0
2266,0,0,0
2267,0,0,0
2268,0,0,0
2269,0,0,0
2270,0,0,0
2271,0,0,0
2272,0,0,0
2273,0,0,0
2274,0,0,0
2275,0,0,0
2276,0,0,0
2277,0,0,0
2278,0,0,0
2279,0,0,0
2280,0,0,0
2281,0,0,0
2282,0,0,0
2283,0,0,0
2284,0,0,0
2285,0,0,0
2286,0,0,0
2287,0,0,0
2288,0,0,0
2289,0,0,0
2290,0,0,0
2291,0,0,0
2292,0,0,0
2293,0,0,0
2294,0,0,0
2295,0,0,0
2296,0,0,0
2297,0,0,0
2298,0,0,0
2299,0,0,0
2300,0,0,0
