File Description: RCMIP SSP126 emissions scenario from 1750-2500.,,,
"Code Source: Extracted using default Python model version of FAIR2.0, available at https://github.com/njleach/
FAIR/tree/47c6eec031d2edcf09424394dbb86581a1b246ba",,,
"Paper Reference: Leach et al. 2021. ""FaIRv2.0.0: a generalized impulse response model for climate
uncertainty and future scenario exploration,"" Geoscientific Model Development. https://doi.org/10.5194/gmd-14-3007-2021",,,
1922,0,0,0
1923,0,0,0
1924,0,0,0
1925,0,0,0
1926,0,0,0
1927,0,0,0
1928,0,0,0
1929,0,0,0
1930,0,0,0
1931,0,0,0
1932,0,0,0
1933,0,0,0
1934,0,0,0
1935,0,0,0
1936,0,0,0
1937,0,0,0
1938,0,0,0
1939,0,0,0
1940,0,0,0
1941,0,0,0
1942,0,0,0
1943,0,0,0
1944,0,0,0
1945,0,0,0
1946,0,0,0
1947,0,0,0
1948,0,0,0
1949,0,0,0
1950,0,0,0
1951,0,0,0
1952,0,0,0
1953,0,0,0
1954,0,0,0
1955,0,0,0
1956,0,0,0
1957,0,0,0
1958,0,0,0
1959,0,0,0
1960,0,0,0
1961,0,0,0
1962,0,0,0
1963,0,0,0
1964,0,0,0
1965,0,0,0
1966,0,0,0
1967,0,0,0
1968,0,3.66E-10,0
1969,0,6.58E-07,1.13E-06
1970,0,2.40E-06,4.23E-06
1971,0,4.20E-06,7.74E-06
1972,0,5.30E-06,1.04E-05
1973,2.10E-08,5.68E-06,1.20E-05
1974,1.77E-07,5.35E-06,1.24E-05
1975,4.00E-07,4.29E-06,1.15E-05
1976,5.64E-07,2.52E-06,9.16E-06
1977,7.19E-07,7.91E-07,-6.51E-06
1978,8.75E-07,1.36E-07,-2.14E-05
1979,1.03E-06,1.36E-07,-9.98E-06
1980,1.18E-06,1.36E-07,3.13E-06
1981,1.33E-06,1.36E-07,3.83E-05
1982,1.47E-06,1.34E-07,6.67E-05
1983,1.65E-05,1.32E-07,2.41E-05
1984,0.000152491,1.33E-07,-4.01E-05
1985,0.000399263,1.33E-07,-6.22E-06
1986,0.000674323,1.34E-07,3.18E-05
1987,0.001000528,1.34E-07,8.32E-06
1988,0.001400486,1.35E-07,3.47E-05
1989,0.001864912,1.36E-07,7.70E-05
1990,0.002382589,1.36E-07,1.83E-05
1991,0.002937818,1.55E-05,-7.30E-05
1992,0.004491123,1.55E-05,-3.08E-05
1993,0.006496799,3.09E-05,4.28E-05
1994,0.007162855,6.17E-05,8.30E-06
1995,0.007887955,6.20E-05,8.46E-06
1996,0.010100268,7.76E-05,0.000113536
1997,0.011574972,9.32E-05,0.000111343
1998,0.015498744,0.000108976,6.92E-05
1999,0.018334419,0.000124802,0.000139549
2000,0.021400526,0.000140709,0.000269996
2001,0.027184793,0.000156671,0.000610731
2002,0.029655611,0.000157338,0.001313749
2003,0.034656619,0.00015807,0.002235639
2004,0.042288118,0.000219984,0.003118653
2005,0.045001634,0.000212764,0.003418058
2006,0.051038048,0.000182183,0.002559234
2007,0.055735756,0.00023422,0.0027884
2008,0.055545108,0.000212223,0.0027884
2009,0.058747812,0.000172706,0.0029974
2010,0.059879906,0.000279934,0.0033098
2011,0.059950898,0.000333569,0.0035841
2012,0.056430796,0.000258313,0.0039269
2013,0.05223651,0.000241043,0.0042254
2014,0.0556047,0.000256,0.0044701
2015,0.0558814,0.0002604,0.0046492
2016,0.056370016,0.0002965,0.00484963
2017,0.056858632,0.0003326,0.00505006
2018,0.057347249,0.0003687,0.005250489
2019,0.057835865,0.0004048,0.005450919
2020,0.058324481,0.0004409,0.005651349
2021,0.055252142,0.00044094,0.005447224
2022,0.052179803,0.00044098,0.005243099
2023,0.049107464,0.00044102,0.005038975
2024,0.046035125,0.00044106,0.00483485
2025,0.042962787,0.0004411,0.004630725
2026,0.039890448,0.00044114,0.0044266
2027,0.036818109,0.00044118,0.004222476
2028,0.03374577,0.00044122,0.004018351
2029,0.030673431,0.00044126,0.003814226
2030,0.027601092,0.0004413,0.003610101
2031,0.025199103,0.00040611,0.003305877
2032,0.022797113,0.00037092,0.003001652
2033,0.020395124,0.00033573,0.002697428
2034,0.017993134,0.00030054,0.002393203
2035,0.015591145,0.00026535,0.002088979
2036,0.013189156,0.00023016,0.001784754
2037,0.010787166,0.00019497,0.00148053
2038,0.008385177,0.00015978,0.001176305
2039,0.005983187,0.00012459,0.000872081
2040,0.003581198,8.94E-05,0.000567856
2041,0.003409591,8.64E-05,0.000544577
2042,0.003237984,8.34E-05,0.000521297
2043,0.003066377,8.04E-05,0.000498018
2044,0.00289477,7.74E-05,0.000474738
2045,0.002723163,7.43E-05,0.000451459
2046,0.002551555,7.13E-05,0.000428179
2047,0.002379948,6.83E-05,0.0004049
2048,0.002208341,6.53E-05,0.00038162
2049,0.002036734,6.23E-05,0.000358341
2050,0.001865127,5.93E-05,0.000335061
2051,0.001852606,6.01E-05,0.000336129
2052,0.001840086,6.08E-05,0.000337197
2053,0.001827565,6.16E-05,0.000338264
2054,0.001815044,6.23E-05,0.000339332
2055,0.001802523,6.31E-05,0.0003404
2056,0.001790003,6.39E-05,0.000341467
2057,0.001777482,6.46E-05,0.000342535
2058,0.001764961,6.54E-05,0.000343603
2059,0.001752441,6.61E-05,0.000344671
2060,0.00173992,6.69E-05,0.000345738
2061,0.00173516,6.77E-05,0.000347978
2062,0.001730399,6.85E-05,0.000350218
2063,0.001725639,6.94E-05,0.000352458
2064,0.001720879,7.02E-05,0.000354698
2065,0.001716119,7.10E-05,0.000356938
2066,0.001711359,7.18E-05,0.000359178
2067,0.001706598,7.26E-05,0.000361418
2068,0.001701838,7.35E-05,0.000363658
2069,0.001697078,7.43E-05,0.000365898
2070,0.001692318,7.51E-05,0.000368138
2071,0.001692318,7.59E-05,0.000371394
2072,0.001692318,7.66E-05,0.000374649
2073,0.001692318,7.74E-05,0.000377905
2074,0.001692318,7.81E-05,0.00038116
2075,0.001692318,7.89E-05,0.000384415
2076,0.001692318,7.97E-05,0.000387671
2077,0.001692318,8.04E-05,0.000390926
2078,0.001692318,8.12E-05,0.000394181
2079,0.001692318,8.19E-05,0.000397437
2080,0.001692318,8.27E-05,0.000400692
2081,0.001690529,8.31E-05,0.000403298
2082,0.001688741,8.36E-05,0.000405905
2083,0.001686952,8.41E-05,0.000408511
2084,0.001685163,8.45E-05,0.000411118
2085,0.001683375,8.50E-05,0.000413724
2086,0.001681586,8.54E-05,0.00041633
2087,0.001679797,8.59E-05,0.000418937
2088,0.001678009,8.63E-05,0.000421543
2089,0.00167622,8.68E-05,0.000424149
2090,0.001674431,8.72E-05,0.000426756
2091,0.001663113,8.70E-05,0.000426358
2092,0.001651794,8.68E-05,0.00042596
2093,0.001640475,8.66E-05,0.000425563
2094,0.001629157,8.64E-05,0.000425165
2095,0.001617838,8.62E-05,0.000424767
2096,0.001606519,8.60E-05,0.000424369
2097,0.001595201,8.58E-05,0.000423972
2098,0.001583882,8.56E-05,0.000423574
2099,0.001572563,8.54E-05,0.000423176
2100,0.001561245,8.52E-05,0.000422778
2101,0.001550836,8.46E-05,0.00041996
2102,0.001540428,8.41E-05,0.000417141
2103,0.00153002,8.35E-05,0.000414323
2104,0.001519611,8.29E-05,0.000411504
2105,0.001509203,8.24E-05,0.000408686
2106,0.001498795,8.18E-05,0.000405867
2107,0.001488387,8.12E-05,0.000403049
2108,0.001477978,8.07E-05,0.00040023
2109,0.00146757,8.01E-05,0.000397412
2110,0.001457162,7.95E-05,0.000394593
2111,0.001446753,7.90E-05,0.000391775
2112,0.001436345,7.84E-05,0.000388956
2113,0.001425937,7.78E-05,0.000386137
2114,0.001415528,7.72E-05,0.000383319
2115,0.00140512,7.67E-05,0.0003805
2116,0.001394712,7.61E-05,0.000377682
2117,0.001384304,7.55E-05,0.000374863
2118,0.001373895,7.50E-05,0.000372045
2119,0.001363487,7.44E-05,0.000369226
2120,0.001353079,7.38E-05,0.000366408
2121,0.00134267,7.33E-05,0.000363589
2122,0.001332262,7.27E-05,0.000360771
2123,0.001321854,7.21E-05,0.000357952
2124,0.001311445,7.16E-05,0.000355134
2125,0.001301037,7.10E-05,0.000352315
2126,0.001290629,7.04E-05,0.000349497
2127,0.001280221,6.99E-05,0.000346678
2128,0.001269812,6.93E-05,0.00034386
2129,0.001259404,6.87E-05,0.000341041
2130,0.001248996,6.82E-05,0.000338223
2131,0.001238587,6.76E-05,0.000335404
2132,0.001228179,6.70E-05,0.000332586
2133,0.001217771,6.65E-05,0.000329767
2134,0.001207362,6.59E-05,0.000326949
2135,0.001196954,6.53E-05,0.00032413
2136,0.001186546,6.48E-05,0.000321311
2137,0.001176138,6.42E-05,0.000318493
2138,0.001165729,6.36E-05,0.000315674
2139,0.001155321,6.30E-05,0.000312856
2140,0.001144913,6.25E-05,0.000310037
2141,0.001134504,6.19E-05,0.000307219
2142,0.001124096,6.13E-05,0.0003044
2143,0.001113688,6.08E-05,0.000301582
2144,0.00110328,6.02E-05,0.000298763
2145,0.001092871,5.96E-05,0.000295945
2146,0.001082463,5.91E-05,0.000293126
2147,0.001072055,5.85E-05,0.000290308
2148,0.001061646,5.79E-05,0.000287489
2149,0.001051238,5.74E-05,0.000284671
2150,0.00104083,5.68E-05,0.000281852
2151,0.001030421,5.62E-05,0.000279034
2152,0.001020013,5.57E-05,0.000276215
2153,0.001009605,5.51E-05,0.000273397
2154,0.000999197,5.45E-05,0.000270578
2155,0.000988788,5.40E-05,0.00026776
2156,0.00097838,5.34E-05,0.000264941
2157,0.000967972,5.28E-05,0.000262123
2158,0.000957563,5.23E-05,0.000259304
2159,0.000947155,5.17E-05,0.000256485
2160,0.000936747,5.11E-05,0.000253667
2161,0.000926338,5.06E-05,0.000250848
2162,0.00091593,5.00E-05,0.00024803
2163,0.000905522,4.94E-05,0.000245211
2164,0.000895114,4.88E-05,0.000242393
2165,0.000884705,4.83E-05,0.000239574
2166,0.000874297,4.77E-05,0.000236756
2167,0.000863889,4.71E-05,0.000233937
2168,0.00085348,4.66E-05,0.000231119
2169,0.000843072,4.60E-05,0.0002283
2170,0.000832664,4.54E-05,0.000225482
2171,0.000822255,4.49E-05,0.000222663
2172,0.000811847,4.43E-05,0.000219845
2173,0.000801439,4.37E-05,0.000217026
2174,0.000791031,4.32E-05,0.000214208
2175,0.000780622,4.26E-05,0.000211389
2176,0.000770214,4.20E-05,0.000208571
2177,0.000759806,4.15E-05,0.000205752
2178,0.000749397,4.09E-05,0.000202934
2179,0.000738989,4.03E-05,0.000200115
2180,0.000728581,3.98E-05,0.000197297
2181,0.000718173,3.92E-05,0.000194478
2182,0.000707764,3.86E-05,0.000191659
2183,0.000697356,3.81E-05,0.000188841
2184,0.000686948,3.75E-05,0.000186022
2185,0.000676539,3.69E-05,0.000183204
2186,0.000666131,3.64E-05,0.000180385
2187,0.000655723,3.58E-05,0.000177567
2188,0.000645314,3.52E-05,0.000174748
2189,0.000634906,3.46E-05,0.00017193
2190,0.000624498,3.41E-05,0.000169111
2191,0.00061409,3.35E-05,0.000166293
2192,0.000603681,3.29E-05,0.000163474
2193,0.000593273,3.24E-05,0.000160656
2194,0.000582865,3.18E-05,0.000157837
2195,0.000572456,3.12E-05,0.000155019
2196,0.000562048,3.07E-05,0.0001522
2197,0.00055164,3.01E-05,0.000149382
2198,0.000541231,2.95E-05,0.000146563
2199,0.000530823,2.90E-05,0.000143745
2200,0.000520415,2.84E-05,0.000140926
2201,0.000510007,2.78E-05,0.000138108
2202,0.000499598,2.73E-05,0.000135289
2203,0.00048919,2.67E-05,0.000132471
2204,0.000478782,2.61E-05,0.000129652
2205,0.000468373,2.56E-05,0.000126833
2206,0.000457965,2.50E-05,0.000124015
2207,0.000447557,2.44E-05,0.000121196
2208,0.000437148,2.39E-05,0.000118378
2209,0.00042674,2.33E-05,0.000115559
2210,0.000416332,2.27E-05,0.000112741
2211,0.000405924,2.22E-05,0.000109922
2212,0.000395515,2.16E-05,0.000107104
2213,0.000385107,2.10E-05,0.000104285
2214,0.000374699,2.04E-05,0.000101467
2215,0.00036429,1.99E-05,9.86E-05
2216,0.000353882,1.93E-05,9.58E-05
2217,0.000343474,1.87E-05,9.30E-05
2218,0.000333066,1.82E-05,9.02E-05
2219,0.000322657,1.76E-05,8.74E-05
2220,0.000312249,1.70E-05,8.46E-05
2221,0.000301841,1.65E-05,8.17E-05
2222,0.000291432,1.59E-05,7.89E-05
2223,0.000281024,1.53E-05,7.61E-05
2224,0.000270616,1.48E-05,7.33E-05
2225,0.000260207,1.42E-05,7.05E-05
2226,0.000249799,1.36E-05,6.76E-05
2227,0.000239391,1.31E-05,6.48E-05
2228,0.000228983,1.25E-05,6.20E-05
2229,0.000218574,1.19E-05,5.92E-05
2230,0.000208166,1.14E-05,5.64E-05
2231,0.000197758,1.08E-05,5.36E-05
2232,0.000187349,1.02E-05,5.07E-05
2233,0.000176941,9.66E-06,4.79E-05
2234,0.000166533,9.09E-06,4.51E-05
2235,0.000156124,8.52E-06,4.23E-05
2236,0.000145716,7.95E-06,3.95E-05
2237,0.000135308,7.38E-06,3.66E-05
2238,0.0001249,6.82E-06,3.38E-05
2239,0.000114491,6.25E-06,3.10E-05
2240,0.000104083,5.68E-06,2.82E-05
2241,9.37E-05,5.11E-06,2.54E-05
2242,8.33E-05,4.54E-06,2.25E-05
2243,7.29E-05,3.98E-06,1.97E-05
2244,6.24E-05,3.41E-06,1.69E-05
2245,5.20E-05,2.84E-06,1.41E-05
2246,4.16E-05,2.27E-06,1.13E-05
2247,3.12E-05,1.70E-06,8.46E-06
2248,2.08E-05,1.14E-06,5.64E-06
2249,1.04E-05,5.68E-07,2.82E-06
2250,0,0,0
2251,0,0,0
2252,0,0,0
2253,0,0,0
2254,0,0,0
2255,0,0,0
2256,0,0,0
2257,0,0,0
2258,0,0,0
2259,0,0,0
2260,0,0,0
2261,0,0,0
2262,0,0,0
2263,0,0,0
2264,0,0,0
2265,0,0,0
2266,0,0,0
2267,0,0,0
2268,0,0,0
2269,0,0,0
2270,0,0,0
2271,0,0,0
2272,0,0,0
2273,0,0,0
2274,0,0,0
2275,0,0,0
2276,0,0,0
2277,0,0,0
2278,0,0,0
2279,0,0,0
2280,0,0,0
2281,0,0,0
2282,0,0,0
2283,0,0,0
2284,0,0,0
2285,0,0,0
2286,0,0,0
2287,0,0,0
2288,0,0,0
2289,0,0,0
2290,0,0,0
2291,0,0,0
2292,0,0,0
2293,0,0,0
2294,0,0,0
2295,0,0,0
2296,0,0,0
2297,0,0,0
2298,0,0,0
2299,0,0,0
2300,0,0,0
