File Description: RCMIP SSP585 emissions scenario from 1750-2500.,,,
"Code Source: Extracted using default Python model version of FAIR2.0, available at https://github.com/njleach/
FAIR/tree/47c6eec031d2edcf09424394dbb86581a1b246ba",,,
"Paper Reference: Leach et al. 2021. ""FaIRv2.0.0: a generalized impulse response model for climate
uncertainty and future scenario exploration,"" Geoscientific Model Development. https://doi.org/10.5194/gmd-14-3007-2021",,,
1922,0,0,0
1923,0,0,0
1924,0,0,0
1925,0,0,0
1926,0,0,0
1927,0,0,0
1928,0,0,0
1929,0,0,0
1930,0,0,0
1931,0,0,0
1932,0,0,0
1933,0,0,0
1934,0,0,0
1935,0,0,0
1936,0,0,0
1937,0,0,0
1938,0,0,0
1939,0,0,0
1940,0,0,0
1941,0,0,0
1942,0,0,0
1943,0,0,0
1944,0,0,0
1945,0,0,0
1946,0,0,0
1947,0,0,0
1948,0,0,0
1949,0,0,0
1950,0,0,0
1951,0,0,0
1952,0,0,0
1953,0,0,0
1954,0,0,0
1955,0,0,0
1956,0,0,0
1957,0,0,0
1958,0,0,0
1959,0,0,0
1960,0,0,0
1961,0,0,0
1962,0,0,0
1963,0,0,0
1964,0,0,0
1965,0,0,0
1966,0,0,0
1967,0,0,0
1968,0,3.66E-10,0
1969,0,6.58E-07,1.13E-06
1970,0,2.40E-06,4.23E-06
1971,0,4.20E-06,7.74E-06
1972,0,5.30E-06,1.04E-05
1973,2.10E-08,5.68E-06,1.20E-05
1974,1.77E-07,5.35E-06,1.24E-05
1975,4.00E-07,4.29E-06,1.15E-05
1976,5.64E-07,2.52E-06,9.16E-06
1977,7.19E-07,7.91E-07,-6.51E-06
1978,8.75E-07,1.36E-07,-2.14E-05
1979,1.03E-06,1.36E-07,-9.98E-06
1980,1.18E-06,1.36E-07,3.13E-06
1981,1.33E-06,1.36E-07,3.83E-05
1982,1.47E-06,1.34E-07,6.67E-05
1983,1.65E-05,1.32E-07,2.41E-05
1984,0.000152491,1.33E-07,-4.01E-05
1985,0.000399263,1.33E-07,-6.22E-06
1986,0.000674323,1.34E-07,3.18E-05
1987,0.001000528,1.34E-07,8.32E-06
1988,0.001400486,1.35E-07,3.47E-05
1989,0.001864912,1.36E-07,7.70E-05
1990,0.002382589,1.36E-07,1.83E-05
1991,0.002937818,1.55E-05,-7.30E-05
1992,0.004491123,1.55E-05,-3.08E-05
1993,0.006496799,3.09E-05,4.28E-05
1994,0.007162855,6.17E-05,8.30E-06
1995,0.007887955,6.20E-05,8.46E-06
1996,0.010100268,7.76E-05,0.000113536
1997,0.011574972,9.32E-05,0.000111343
1998,0.015498744,0.000108976,6.92E-05
1999,0.018334419,0.000124802,0.000139549
2000,0.021400526,0.000140709,0.000269996
2001,0.027184793,0.000156671,0.000610731
2002,0.029655611,0.000157338,0.001313749
2003,0.034656619,0.00015807,0.002235639
2004,0.042288118,0.000219984,0.003118653
2005,0.045001634,0.000212764,0.003418058
2006,0.051038048,0.000182183,0.002559234
2007,0.055735756,0.00023422,0.0027884
2008,0.055545108,0.000212223,0.0027884
2009,0.058747812,0.000172706,0.0029974
2010,0.059879906,0.000279934,0.0033098
2011,0.059950898,0.000333569,0.0035841
2012,0.056430796,0.000258313,0.0039269
2013,0.05223651,0.000241043,0.0042254
2014,0.0556047,0.000256,0.0044701
2015,0.0558814,0.0002604,0.0046492
2016,0.057263835,0.00030326,0.004936195
2017,0.058646269,0.00034612,0.00522319
2018,0.060028704,0.00038898,0.005510185
2019,0.061411138,0.00043184,0.005797181
2020,0.062793573,0.0004747,0.006084176
2021,0.062026087,0.00051536,0.006196753
2022,0.061258601,0.00055602,0.006309329
2023,0.060491115,0.00059668,0.006421906
2024,0.059723629,0.00063734,0.006534483
2025,0.058956143,0.000678,0.00664706
2026,0.058188657,0.00071866,0.006759637
2027,0.057421171,0.00075932,0.006872214
2028,0.056653685,0.00079998,0.006984791
2029,0.055886199,0.00084064,0.007097368
2030,0.055118713,0.0008813,0.007209945
2031,0.054267794,0.00090944,0.007227593
2032,0.053416875,0.00093758,0.007245241
2033,0.052565955,0.00096572,0.007262889
2034,0.051715036,0.00099386,0.007280537
2035,0.050864117,0.001022,0.007298185
2036,0.050013198,0.00105014,0.007315833
2037,0.049162279,0.00107828,0.007333481
2038,0.048311359,0.00110642,0.007351129
2039,0.04746044,0.00113456,0.007368777
2040,0.046609521,0.0011627,0.007386425
2041,0.046788879,0.00120052,0.00751823
2042,0.046968237,0.00123834,0.007650036
2043,0.047147595,0.00127616,0.007781841
2044,0.047326953,0.00131398,0.007913647
2045,0.047506311,0.0013518,0.008045452
2046,0.047685669,0.00138962,0.008177258
2047,0.047865027,0.00142744,0.008309063
2048,0.048044385,0.00146526,0.008440869
2049,0.048223743,0.00150308,0.008572674
2050,0.048403101,0.0015409,0.00870448
2051,0.048780887,0.00158758,0.008870901
2052,0.049158672,0.00163426,0.009037322
2053,0.049536458,0.00168094,0.009203743
2054,0.049914243,0.00172762,0.009370165
2055,0.050292029,0.0017743,0.009536586
2056,0.050669815,0.00182098,0.009703007
2057,0.0510476,0.00186766,0.009869428
2058,0.051425386,0.00191434,0.01003585
2059,0.051803171,0.00196102,0.010202271
2060,0.052180957,0.0020077,0.010368692
2061,0.05267316,0.00206056,0.0105749
2062,0.053165363,0.00211342,0.010781107
2063,0.053657567,0.00216628,0.010987315
2064,0.05414977,0.00221914,0.011193523
2065,0.054641973,0.002272,0.011399731
2066,0.055134176,0.00232486,0.011605938
2067,0.055626379,0.00237772,0.011812146
2068,0.056118583,0.00243058,0.012018354
2069,0.056610786,0.00248344,0.012224561
2070,0.057102989,0.0025363,0.012430769
2071,0.057192961,0.00256592,0.012560387
2072,0.057282934,0.00259554,0.012690005
2073,0.057372906,0.00262516,0.012819622
2074,0.057462878,0.00265478,0.01294924
2075,0.057552851,0.0026844,0.013078858
2076,0.057642823,0.00271402,0.013208476
2077,0.057732795,0.00274364,0.013338094
2078,0.057822767,0.00277326,0.013467711
2079,0.05791274,0.00280288,0.013597329
2080,0.058002712,0.0028325,0.013726947
2081,0.0576148,0.00283132,0.013734222
2082,0.057226888,0.00283014,0.013741497
2083,0.056838976,0.00282896,0.013748772
2084,0.056451064,0.00282778,0.013756047
2085,0.056063153,0.0028266,0.013763322
2086,0.055675241,0.00282542,0.013770596
2087,0.055287329,0.00282424,0.013777871
2088,0.054899417,0.00282306,0.013785146
2089,0.054511505,0.00282188,0.013792421
2090,0.054123593,0.0028207,0.013799696
2091,0.053674299,0.00280952,0.013763542
2092,0.053225005,0.00279834,0.013727387
2093,0.052775711,0.00278716,0.013691233
2094,0.052326417,0.00277598,0.013655078
2095,0.051877123,0.0027648,0.013618924
2096,0.051427828,0.00275362,0.01358277
2097,0.050978534,0.00274244,0.013546615
2098,0.05052924,0.00273126,0.013510461
2099,0.050079946,0.00272008,0.013474306
2100,0.049630652,0.0027089,0.013438152
2101,0.049299781,0.002690841,0.013348564
2102,0.04896891,0.002672781,0.013258977
2103,0.048638039,0.002654722,0.013169389
2104,0.048307168,0.002636663,0.013079801
2105,0.047976297,0.002618603,0.012990214
2106,0.047645426,0.002600544,0.012900626
2107,0.047314555,0.002582485,0.012811038
2108,0.046983684,0.002564425,0.012721451
2109,0.046652813,0.002546366,0.012631863
2110,0.046321942,0.002528307,0.012542275
2111,0.045991071,0.002510247,0.012452688
2112,0.0456602,0.002492188,0.0123631
2113,0.045329329,0.002474129,0.012273512
2114,0.044998458,0.002456069,0.012183924
2115,0.044667587,0.00243801,0.012094337
2116,0.044336716,0.002419951,0.012004749
2117,0.044005845,0.002401891,0.011915161
2118,0.043674974,0.002383832,0.011825574
2119,0.043344103,0.002365773,0.011735986
2120,0.043013232,0.002347713,0.011646398
2121,0.042682361,0.002329654,0.011556811
2122,0.04235149,0.002311595,0.011467223
2123,0.042020619,0.002293535,0.011377635
2124,0.041689748,0.002275476,0.011288048
2125,0.041358877,0.002257417,0.01119846
2126,0.041028006,0.002239357,0.011108872
2127,0.040697135,0.002221298,0.011019285
2128,0.040366264,0.002203239,0.010929697
2129,0.040035393,0.002185179,0.010840109
2130,0.039704522,0.00216712,0.010750522
2131,0.039373651,0.002149061,0.010660934
2132,0.03904278,0.002131001,0.010571346
2133,0.038711909,0.002112942,0.010481759
2134,0.038381038,0.002094883,0.010392171
2135,0.038050167,0.002076823,0.010302583
2136,0.037719296,0.002058764,0.010212996
2137,0.037388425,0.002040705,0.010123408
2138,0.037057553,0.002022645,0.01003382
2139,0.036726682,0.002004586,0.009944232
2140,0.036395811,0.001986527,0.009854645
2141,0.03606494,0.001968467,0.009765057
2142,0.035734069,0.001950408,0.009675469
2143,0.035403198,0.001932349,0.009585882
2144,0.035072327,0.001914289,0.009496294
2145,0.034741456,0.00189623,0.009406706
2146,0.034410585,0.001878171,0.009317119
2147,0.034079714,0.001860111,0.009227531
2148,0.033748843,0.001842052,0.009137943
2149,0.033417972,0.001823993,0.009048356
2150,0.033087101,0.001805933,0.008958768
2151,0.03275623,0.001787874,0.00886918
2152,0.032425359,0.001769815,0.008779593
2153,0.032094488,0.001751755,0.008690005
2154,0.031763617,0.001733696,0.008600417
2155,0.031432746,0.001715637,0.00851083
2156,0.031101875,0.001697577,0.008421242
2157,0.030771004,0.001679518,0.008331654
2158,0.030440133,0.001661459,0.008242067
2159,0.030109262,0.001643399,0.008152479
2160,0.029778391,0.00162534,0.008062891
2161,0.02944752,0.001607281,0.007973304
2162,0.029116649,0.001589221,0.007883716
2163,0.028785778,0.001571162,0.007794128
2164,0.028454907,0.001553103,0.00770454
2165,0.028124036,0.001535043,0.007614953
2166,0.027793165,0.001516984,0.007525365
2167,0.027462294,0.001498925,0.007435777
2168,0.027131423,0.001480865,0.00734619
2169,0.026800552,0.001462806,0.007256602
2170,0.026469681,0.001444747,0.007167014
2171,0.02613881,0.001426687,0.007077427
2172,0.025807939,0.001408628,0.006987839
2173,0.025477068,0.001390569,0.006898251
2174,0.025146197,0.001372509,0.006808664
2175,0.024815326,0.00135445,0.006719076
2176,0.024484455,0.001336391,0.006629488
2177,0.024153584,0.001318331,0.006539901
2178,0.023822713,0.001300272,0.006450313
2179,0.023491842,0.001282213,0.006360725
2180,0.023160971,0.001264153,0.006271138
2181,0.0228301,0.001246094,0.00618155
2182,0.022499229,0.001228035,0.006091962
2183,0.022168358,0.001209975,0.006002375
2184,0.021837487,0.001191916,0.005912787
2185,0.021506616,0.001173857,0.005823199
2186,0.021175745,0.001155797,0.005733612
2187,0.020844874,0.001137738,0.005644024
2188,0.020514003,0.001119679,0.005554436
2189,0.020183132,0.001101619,0.005464848
2190,0.019852261,0.00108356,0.005375261
2191,0.01952139,0.001065501,0.005285673
2192,0.019190519,0.001047441,0.005196085
2193,0.018859648,0.001029382,0.005106498
2194,0.018528777,0.001011323,0.00501691
2195,0.018197906,0.000993263,0.004927322
2196,0.017867035,0.000975204,0.004837735
2197,0.017536164,0.000957145,0.004748147
2198,0.017205293,0.000939085,0.004658559
2199,0.016874422,0.000921026,0.004568972
2200,0.016543551,0.000902967,0.004479384
2201,0.01621268,0.000884907,0.004389796
2202,0.015881809,0.000866848,0.004300209
2203,0.015550938,0.000848789,0.004210621
2204,0.015220067,0.000830729,0.004121033
2205,0.014889196,0.00081267,0.004031446
2206,0.014558325,0.000794611,0.003941858
2207,0.014227454,0.000776551,0.00385227
2208,0.013896583,0.000758492,0.003762683
2209,0.013565712,0.000740433,0.003673095
2210,0.013234841,0.000722373,0.003583507
2211,0.01290397,0.000704314,0.00349392
2212,0.012573099,0.000686255,0.003404332
2213,0.012242227,0.000668195,0.003314744
2214,0.011911356,0.000650136,0.003225156
2215,0.011580485,0.000632077,0.003135569
2216,0.011249614,0.000614017,0.003045981
2217,0.010918743,0.000595958,0.002956393
2218,0.010587872,0.000577899,0.002866806
2219,0.010257001,0.000559839,0.002777218
2220,0.00992613,0.00054178,0.00268763
2221,0.009595259,0.000523721,0.002598043
2222,0.009264388,0.000505661,0.002508455
2223,0.008933517,0.000487602,0.002418867
2224,0.008602646,0.000469543,0.00232928
2225,0.008271775,0.000451483,0.002239692
2226,0.007940904,0.000433424,0.002150104
2227,0.007610033,0.000415365,0.002060517
2228,0.007279162,0.000397305,0.001970929
2229,0.006948291,0.000379246,0.001881341
2230,0.00661742,0.000361187,0.001791754
2231,0.006286549,0.000343127,0.001702166
2232,0.005955678,0.000325068,0.001612578
2233,0.005624807,0.000307009,0.001522991
2234,0.005293936,0.000288949,0.001433403
2235,0.004963065,0.00027089,0.001343815
2236,0.004632194,0.000252831,0.001254228
2237,0.004301323,0.000234771,0.00116464
2238,0.003970452,0.000216712,0.001075052
2239,0.003639581,0.000198653,0.000985464
2240,0.00330871,0.000180593,0.000895877
2241,0.002977839,0.000162534,0.000806289
2242,0.002646968,0.000144475,0.000716701
2243,0.002316097,0.000126415,0.000627114
2244,0.001985226,0.000108356,0.000537526
2245,0.001654355,9.03E-05,0.000447938
2246,0.001323484,7.22E-05,0.000358351
2247,0.000992613,5.42E-05,0.000268763
2248,0.000661742,3.61E-05,0.000179175
2249,0.000330871,1.81E-05,8.96E-05
2250,0,0,0
2251,0,0,0
2252,0,0,0
2253,0,0,0
2254,0,0,0
2255,0,0,0
2256,0,0,0
2257,0,0,0
2258,0,0,0
2259,0,0,0
2260,0,0,0
2261,0,0,0
2262,0,0,0
2263,0,0,0
2264,0,0,0
2265,0,0,0
2266,0,0,0
2267,0,0,0
2268,0,0,0
2269,0,0,0
2270,0,0,0
2271,0,0,0
2272,0,0,0
2273,0,0,0
2274,0,0,0
2275,0,0,0
2276,0,0,0
2277,0,0,0
2278,0,0,0
2279,0,0,0
2280,0,0,0
2281,0,0,0
2282,0,0,0
2283,0,0,0
2284,0,0,0
2285,0,0,0
2286,0,0,0
2287,0,0,0
2288,0,0,0
2289,0,0,0
2290,0,0,0
2291,0,0,0
2292,0,0,0
2293,0,0,0
2294,0,0,0
2295,0,0,0
2296,0,0,0
2297,0,0,0
2298,0,0,0
2299,0,0,0
2300,0,0,0
